"V1","V2","V3","V4","V5"
48,"           17603",1,0.0997,"7CE044001312"
49,"           17606",1,0.0994,"7CE0440017A3"
50,"           17610",1,0.0999,"7CE044001947"
51,"           17886",1,0.0997,"7CE044001232"
52,"           17887",1,0.0997,"7CE044001232"
53,"           17897",1,0.0999,"7CE044001653"
54,"           17996",1,0.0994,"7CE0440017A3"
55,"           17997",1,0.0997,"7CE044001232"
56,"           17998",1,0.0999,"7CE044001653"
57,"           18009",1,0.0994,"7CE0440017A3"
58,"           18015",1,0.0999,"7CE044001947"
59,"           18017",1,0.0999,"7CE044001653"
60,"           18025",1,0.0997,"7CE044001232"
61,"           18509",1,0.0994,"7CE044001550"
62,"           18513",1,0.0999,"7CE044001947"
63,"           18521",1,0.0999,"7CE044001653"
64,"           18522",1,0.0994,"7CE044001550"
65,"           18524",1,0.0997,"7CE044001312"
66,"           18526",1,0.0997,"7CE044001232"
67,"           18527",1,0.0999,"7CE044001653"
68,"           18530",1,0.0994,"7CE0440017A3"
69,"           19519",4,0.2002,"7CE044001C5A"
70,"           19522",4,0.2004,"7CE044001CA4"
71,"           19872",1,0.0999,"7CE044001653"
72,"           19878",1,0.0997,"7CE044001232"
73,"           20826",4,0.2045,"7CE044001CDB"
74,"           20866",7,0.2,"7CE04400220B"
75,"           22256",4,0.2,"7CE04400230F"
76,"           22685",5,1,"7CE044001CDB"
77,"           22777",1,1,"7CE044001D10"
78,"           22780",1,1,"7CE04400187F"
79,"           22781",1,0.994,"7CE044001D4A"
80,"           22784",1,0.994,"7CE044001CE1"
81,"           23822",1,0.0997,"7CE044001C2F"
82,"           23824",1,0.0997,"7CE044001C12"
83,"           23825",1,0.0997,"7CE044001C35"
84,"           23827",1,0.0994,"7CE0440017A3"
85,"           23838",1,0.0997,"7CE044001A1E"
86,"           23882",1,0.0997,"7CE044001C12"
87,"           23884",1,0.0997,"7CE044001C12"
88,"           23890",1,0.0997,"7CE044001C12"
89,"           23893",1,0.0997,"7CE044001C2F"
90,"           23899",1,0.0997,"7CE044001C12"
91,"           24594",5,1.0003,"7CE04400220B"
92,"           24608",1,0.2,"7CE044002319"
93,"           24686",1,0.0997,"7CE044001C35"
94,"           24687",1,0.0997,"7CE044001C2F"
95,"           24688",1,0.0997,"7CE044001A1E"
96,"           24689",1,0.0997,"7CE044001C35"
97,"           24706",1,0.0997,"7CE044001C12"
98,"           24707",1,0.0997,"7CE044001A1E"
99,"           24709",1,0.0997,"7CE044001312"
100,"           24713",1,0.0997,"7CE044001C35"
101,"           24714",1,0.0997,"7CE044001C35"
102,"           24715",1,0.0997,"7CE044001C35"
103,"           25238",1,4e-04,"7CE04400220B"
104,"           25311",6,0.977,"7CE044001CDB"
105,"           26137",1,0.0391,"7CE044001C5A"
106,"           26138",1,0.0424,"7CE044001C5A"
107,"           26139",1,0.0473,"7CE044001CA4"
108,"           26140",1,0.0538,"7CE044001CA4"
109,"           26158",1,0.0018,"7CE04400220B"
110,"           26294",1,1,"7CE044002305"
111,"           27362",5,1,"7CE0440017BF"
112,"           29432",3,0.1002,"7CE044001C2F"
113,"           30570",3,0.1001,"7CE044001C35"
114,"           30573",3,0.1,"7CE044001C12"
115,"           30585",3,0.0998,"7CE044001C12"
116,"           30930",4,0.9933,"7CE044001730"
117,"           30935",4,0.9864,"7CE0440019DB"
118,"           32386",6,20,"7CE044001723"
119,"           33452",3,0.1001,"7CE044001C35"
120,"           34102",5,0.9939,"7CE0440019F4"
121,"           35617",1,0.1,"7CE044001B9E"
122,"           35659",2,0.994,"7CE044001C19"
123,"           35663",2,0.999,"7CE044001BB0"
124,"           35670",2,0.9884,"7CE044001C1A"
125,"           39743",16,0.0999,"7CE044001AF3"
126,"           39745",16,0.0994,"7CE044001E12"
127,"           39748",16,0.0997,"7CE044001EC7"
128,"           39749",16,0.0998,"7CE044001E60"
129,"           42977",16,0.0997,"7CE044001F11"
130,"           43684",1,1,"7CE044001CDB"
131,"           43685",1,1,"7CE044001CDB"
132,"           43686",1,1,"7CE044001CDB"
133,"           43687",1,1,"7CE044001CDB"
134,"           43688",1,1,"7CE044001CDB"
135,"           43689",1,1,"7CE044001CDB"
136,"           43715",1,1,"7CE04400220B"
137,"           43716",1,1,"7CE04400220B"
138,"           43717",1,1,"7CE04400220B"
139,"           43718",1,1,"7CE04400220B"
