"SiteID","Domain","Site.Status","Site.Long.Name","Latitude","Longitude","Time.Zone","Core.Relocatable","Site.Heating","Permafrost.Site.","DFIR.Hut.Support","EC.SE.Dehumidifier.Site.","Tower.Height..ft.","Tower.Support.Type","Num.of.Tower.sections","Tower.Section..1.Section.Type","Tower.Section..2.Section.Type","Uppermost.Heavy.Extreme.Tower.section","FAA.Lights.Required.","Num.of.MLs","Profile.Boom.Style","ML2.Tower.section","ML3.Tower.section","ML4.Tower.Section","Tower.Top.Boom.Style","Tower.Top.EC.Boom","Tower.Top.Rad.Boom","Tower.Top.Temp.Boom","SE.Rad.Boom.Face","CIMEL.corner","Tipping.Bucket.Corner","NEMA.face","Up.Down.PAR.direction","X","Particulate.Site.","Wet.Dep.Site.","BGMS.Site.","Gas.Profile.Vapor.Site","Gas.Profile.Orifice.Size","Gas.Profile.Pump.Altitude.Type","Extreme.Heated.Site.but.Standard.Heat.ATS.ATT.","Soil.Throughfall.per.plot","Soil.CO2.per.plot","High.Water.Level.Soil.Plots.Site","Soil.CO2.type","Soil.Plot.count","Soil.Temp.site.specific.config.used.","Permafrost.site.","PM.Code","DP1.00007.001","DP1.00001.001","DP1.00002.001","DP1.00003.001","DP1.00024.001","DP1.00014.001","DP1.00022.001","DP1.00023.001","DP1.00066.001","DP1.00006.001","DP1.00040.001","DP1.00034.001","DP1.00041.001.001","DP1.00041.001.002","DP1.00041.001.003","DP1.00041.001.004","DP1.00041.001.005"
"SRER","D14",,"Santa Rita Experimental Range",31.91068,-110.83549,"America/Phoenix","Core","Non-heated","No","Yes Power, Yes Fiber","No",26,"Self Supporting",2,"Standard","Standard",0,"No",4,"Combined",1,2,3,"Combined","DA","BA","BA","C","y-AD","NA","D","Right","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D14C",1,3,3,1,4,1,1,2,3,1,3,1,9,9,9,9,9
"JORN","D14","1-FY14","Jornada LTER",32.59068,-106.84254,"America/Denver","Relocatable","Non-heated","No","N/A","No",26,"Self Supporting",2,"Standard","Standard",0,"No",4,"Combined",1,2,3,"Combined","CB","BA","BA","D","AB","y-CD","C","Right","NA","No","No","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D14R1",1,3,3,1,4,1,0,2,3,0,3,1,9,9,9,9,9
"ONAQ","D15","C-FY15-2","Onaqui-Ault",35.96412,-84.2826,"America/Denver","Core","Heated","No","Yes Power, Yes Fiber","No",26,"Self Supporting",2,"Standard","Standard",0,"No",4,"Combined",1,2,3,"Combined","CB","AB","AB","D","y-AB","CD","C","Left","NA","Yes","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D15C",1,3,3,1,4,1,1,2,3,1,3,1,9,9,9,9,9
"WREF","D16",,"Wind River Experimental Forest",45.82049,-121.95191,"US/Pacific","Core","Heated","No","No Power, No Fiber","No",279,"Self Supporting",25,"Wind River","Wind River","NA","No",8,"Split",3,6,11,"Split","CB","BA","AB","D","y-AD","y-CD","C","Right","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D16C",1,7,7,1,8,1,1,2,3,1,3,1,9,9,9,9,9
"ABBY","D16","D-FY15-3","Abby Road",45.76243,-122.33033,"US/Pacific","Relocatable","Heated","No","N/A","No",61,"Guyed",5,"Heavy","Heavy",3,"No",5,"Combined",1,2,5,"Combined","DA","BA","BA","C","AD","y-BC","D","Right","NA","No","No","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D16R2",1,4,4,1,5,1,0,2,3,0,3,1,9,9,9,9,9
"TEAK","D17",,"Lower Teakettle",37.00583,-119.00602,"US/Pacific","Relocatable","Heated","No","N/A","No",193,"Guyed",17,"Heavy","Heavy",5,"L-864/L-865",7,"Combined",1,4,8,"Combined","CB","BA","BA","D","y-AD","y-CD","C","Right","NA","No","No","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D17R2",1,6,6,1,7,1,0,2,3,0,3,1,9,9,9,9,9
"SOAP","D17",,"Soaproot Saddle",37.03337,-119.26219,"US/Pacific","Relocatable","Heated","No","N/A","No",171,"Guyed",15,"Heavy","Standard",1,"No",6,"Split",2,6,9,"Combined","CD","AB","AB","A","AB","y-BC","C","Left","NA","No","No","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D17R1",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,9
"SJER","D17",,"San Joaquin",37.10878,-119.73228,"US/Pacific","Core","Heated","No","Yes Power, Yes Fiber","No",127,"Guyed",11,"Standard","Standard",0,"No",6,"Split",1,2,7,"Combined","CD","DA","DA","A","y-AD","NA","C","Left","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D17C",1,5,5,1,6,1,1,2,3,1,3,1,9,9,9,9,9
"TOOL","D18",,"Toolik Lake",68.66109,-149.37047,"America/Anchorage","Core","Extreme Heated","Yes","Yes Power, Yes Fiber","No",26,"Self Supporting",2,"Standard","Standard",0,"No",4,"Split",1,2,3,"Combined","CB","BA","BA","D","y-AD","NA","C","Right","NA","No","Yes","No","Yes",42,"Standard","No",5,3,"No","GMP343",5,"Yes","Yes","D18C",1,3,3,1,4,1,1,2,3,1,3,1,9,9,9,9,9
"BARR","D18",,"Barrow Environmental Observatory",71.28241,-156.61936,"America/Anchorage","Relocatable","Extreme Heated","Yes","N/A","No",26,"Self Supporting",2,"Extreme","Standard",1,"No",4,"Combined",1,2,3,"Combined","DA","BA","BA","C","y-AD","y-BC","D","Right","NA","No","Yes","No","Yes",42,"Standard","No",4,3,"No","GMP343",5,"Yes","Yes","D18R1",1,3,3,1,4,1,0,2,3,0,3,1,9,9,9,9,9
"HEAL","D19","D-FY15-3","Healy (Eight Mile)",63.87569,-149.21334,"America/Anchorage","Relocatable","Extreme Heated","Yes","N/A","No",26,"Self Supporting",2,"Standard","Standard","NA","No",4,"Combined",1,2,3,"Combined","DA","BA","BA","C","y-AD","y-BC","D","Right","NA","No","Yes","No","No",42,"Standard","No",4,3,"No","GMP343",5,"Yes","Yes","D19R3",1,3,3,1,4,1,0,2,3,0,3,1,9,9,9,9,9
"DEJU","D19",,"Delta Junction",63.88112,-145.75136,"America/Anchorage","Relocatable","Extreme Heated","Yes","N/A","No",72,"Guyed",6,"Standard","Standard",0,"No",5,"Combined",1,2,4,"Combined","DA","BA","BA","C","y-AD","y-BC","D","Right","NA","No","No","No","No",42,"Standard","No",4,3,"No","GMP343",5,"Yes","Yes","D19R1",1,4,4,1,5,1,0,2,3,0,3,1,9,8,7,7,6
"BONA","D19",,"Caribou Creek - Poker Flats Watershed",65.15401,-147.50258,"America/Anchorage","Core","Extreme Heated","Yes","No Power, Yes Fiber","No",59,"Self Supporting",5,"Heavy","Standard",1,"No",5,"Combined",1,2,3,"Combined","DA","BA","BA","C","y-AD","NA","D","Right","NA","No","Yes","No","Yes",42,"Standard","No",5,3,"No","GMP343",5,"Yes","Yes","D19C",1,4,4,1,5,1,1,2,3,1,3,1,9,9,9,9,9
"PUUM","D20",,"Pu'u Maka'ala Natural Area Reserve",40.17759,-112.45244,"Pacific/Honolulu","Core","Non-heated","No","No Power, No Fiber","Yes",70,"Self Supporting",6,"0","0","NA","No",6,"Combined",1,2,3,"Combined","CD","BA","BA",,"y-","NA-",,"Right","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D20C",1,5,5,1,6,1,1,2,3,1,3,1,9,9,9,9,9
